domain,company_name,eik,nkid,sector_label,region,size_band,source
kodent.bg,KoDent Dental Clinic,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
m3dent.com,M3 Dent,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
metalokeramika.eu,Metalokeramika,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
mgdentalclinic.com,MG Dental Clinic,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
mgd-dental.com,MGD Dental Clinic Dr. M. Dyukendzhieva,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
naturadentclinic.com,NATURADENT / Dr Kristian Monev,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
nikadent.eu,Nikadent - Dr Nikolay Markov,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
nmdentalstudio.com,NM Dental Studio,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
noradent.com,Noradent Dental Clinic,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
npdentalclinic.com,NP Dental Clinic,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
sanident.bg,SANIDENT Dental Clinic,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
skydental.bg,Sky Dental Clinic,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
smilebymedi.com,Smile By Medi,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
smilefactorybg.com,"Smile Factory ""Oborishte"" Dental Clinic",,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
smilepoint.bg,Smile Point Business Park Dental Clinic,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
sofiadentalstudio.bg,Sofia Dental Studio,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
estedental.com,Sofia Dentist - Dr. Maya Jivkova / Estedental,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
svedent.com,Svedent,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
vavadent.com,Vava Dent / Dr Ali Hamoudi,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
vestadent.com,Vesta-Dent,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
viadentalstudio.com,Via Dental Studio – Красно село,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
dentalartbg.com,Vitosha ART Dental,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
zident.net,ZIDENT Dental Practice,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
dental-xray.bg,Zubni snimki,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
bgmdent.com,БГМ-Дент стоматологични кабинети,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
goranovdent.com,Горанов Дент,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
imani.care,д-р Атанасиос Куцюрубас,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
dkc13sofia.com,д-р Валерий Любенов Ичков,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
smilecraft.bg,д-р Десислава Тодорова (Кабакова) - Smilecraft Dental Care,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
zdravizabi.com,Д-р Димова и Д-р Кръстева,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
drdochev.com,Д-р Дочев,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
zubolekarlagera.com,Д-р Едуард Апелян,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
irenahasara.com,Д-р Ирена Хасара,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
ivanov-dental.eu,д-р Костадин Иванов - ДЕНТАЛ,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
zubenlek.info,Д-р Майк Мишел / Dr Mike Michael DMD / ZubenLek,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
drmitkova.com,"д-р Миткова, стоматолог",,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
midental.info,Д-р Михаил Далемски,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
nikolay.frantsovi.com,Д-р Николай Францов - зъболекар,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
dr-iliev.com,Д-р Огнян Илиев - Стоматолог,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
drfarmaui.com,Д-р Рами Фармауи,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
hident-bg.com,Д-р Росен Машев,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
germandentbg.com,д-р Светослав Добрев - Emergency Dentist,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
drnedialkova.com,Д-р Теодора Недялкова - Дентални клиники,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
drtsonev.com,Д-р Цонев - Зъболекар,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
daradent.net,ДараДент,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
dentalna-pomosht.com,Денонощен зъболекар,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
kazbekdent.bg,Дентален Кабинет Казбек,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
bl-dental.com,"Дентална Клиника ""BL Aesthetics & Orthodontics""",,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
ortodentbg.com,Дентална клиника - ОРТОДЕНТ,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
lk-dent.bg,Дентална Клиника LK DENT,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
unisondent.com,Дентална клиника UNISON,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
andreevdentalclinic.com,Дентална Клиника Андреев,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
stoyanovdent.bg,Дентална Клиника Д-р Ивайло Стоянов,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
dimovadent.com,Дентална клиника Димова,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
kirilovadent.com,"Дентална клиника Кирилова, д-р Рени Кирилова",,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
rubident.bg,Дентална клиника Рубидент - Петър Календерски,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
hadjievdent.com,Дентална клиника Хаджиев Дент,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
dentaldiagnostics.bg,Дентална рентгенова лаборатория - Dental Diagnostics BG,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
perfectsmile.bg,Дентално студио Импла - д-р Любенов,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
xn--80abmgreuu7f.top,Добър Зъболекар,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
kident.bg,За д-р Кристина Димова,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
preventica.bg,Зъболекар Младост 4 - д-р Светлана Огнянова,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
iskamusmivka.com,Искам Усмивка,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
peshkirski.com,Клиника Пешкирски - Денонощен зъболекар 24/7,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
krusharskident.com,Крушарски,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
optima-amb.com,Лазерна Дентална Амбулатория ОПТИМА,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
liasdent.bg,ЛИАС ДЕНТ - Д-р Весела Юрукова,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
maniadenti.com,Мания Денти,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
amadent.bg,Медико-дентален Център Ама,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
ddk.bg,Немска Дентална Клиника / Deutsche Dental Klinik,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
parodontit.net,Пародонтит,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
sanoraldental.com,Санорал - Дентална клиника,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
newdental.bg,Специализирана клиника по орална хирургия и дентална медицина,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
markov-dent.com,"Стоматологичен кабинет ""Марков-Дент""",,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
domuschiev.com,Стоматологичен кабинет Smile More Домусчиева & Каракашев,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
zabolekarsofia.com,Стоматологичен кабинет д-р Даракчиева,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
dentalbulgaria.com,Стоматологичен кабинет Дентал България,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
herodental.com,Стоматологичен кабинет Херодентал,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
djerident.eu,Стоматологичен Център Джеридент,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
jordanovdent.bg,Стоматологична клиника Д-р Йорданов,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
texturadentalstudio.com,Текстура Дентал Студио,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
twindent.bg,Туин дент,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
unidentsofia.carrd.co,Унидент - Лечение във Факултета по дентална медицина,,8623,Дентална медицина,София,,sofia_dentists_filtered.xlsx · Send
